Title,Investigators,Investigator1,Investigator2,Investigator3,Investigator4,Investigator5,Investigator6,Investigator7,Investigator8,Investigator9,ContractPeriod,EndYear,FundingAgency,UW#,DNR#
"Evaluation of Groundwater Susceptibility Assessment Systems in Dane County, Wisconsin","Michael A. Bohn, Maureen A. Muldoon, Frederick W. Madison, Kenneth R. Bradbury, Alexander Zaporozec",Michael A. Bohn, Maureen A. Muldoon, Frederick W. Madison, Kenneth R. Bradbury, Alexander Zaporozec,,,,,"07/01/1992 –
06/30/1994",1994,DNR,WR92R 009,100
Tracer Study for Characterization of Groundwater Movement and Contaminant Transport in Fractured Dolomite,"Maureen A. Muldoon, Kenneth R. Bradbury",Maureen A. Muldoon, Kenneth R. Bradbury,,,,,,,,"07/01/1992 –
06/30/1994",1994,DNR,WR92R 010,101
Urban stormwater infiltration: Assessment and enhancement of pollutant removal,David Armstrong,David Armstrong,,,,,,,,,"07/01/1992 –
06/30/1994",1994,DNR,WR92R 012,102
Long-term Transformation and Fate of Nitrogen in Mound-type Soil Absorption Systems for Septic Tank Effluent,"John Harkin, Chen Peng Chen",John Harkin, Chen Peng Chen,,,,,,,,"07/01/1992 –
06/30/1994",1994,DNR,WR92R 004,103
A further study of organics at municpal solid waste landfills,"Jack Connelly, Janet batista",Jack Connelly, Janet batista,,,,,,,,"07/01/1992 –
06/30/1994",1994,DNR,WR92R 006,104
The Impact of Atrazine Management Areas Designation on Weed Control Strategies in Wisconsin Corn Production,"Peter Nowak, Steven Wolf and Robert McCallister, Heather Hartley, UW - Mad.",Peter Nowak, Steven Wolf , Heather Hartley,Robert McCallister,,,,,,"07/01/1992 –
06/30/1994",1994,DATCP and Ciba Geigy,WR92R 001,
Variability of hydraulic conductivity in supraglacial sediments,David Mickelson,David Mickelson,,,,,,,,,"07/01/1992 –
06/30/1994",1994,UWS,WR92R 002,
Field evaluation of near source transport of contaminants in heterogeneous  media,John Hoopes,John Hoopes,,,,,,,,,,,UWS,WR92R 003,
Ultrasonic verification technique for evaluating well seals,Tuncer Edil,Tuncer Edil,,,,,,,,,,,UWS,WR92R 005,
Impact of tunnel dewatering on surface water bodies in Mil. County,Doug Cherkauer,Doug Cherkauer,,,,,,,,,"07/01/1992 –
06/30/1994",1994,UWS,WR92R 007,
Management of sweet corn processing to protect groundwater quality,Larry Bundy,Larry Bundy,,,,,,,,,,,UWS,WR92R 008,
Trace metal transport affected by groundwater stream interactions,Jean Bahr,Jean Bahr,,,,,,,,,"07/01/1992 –
06/30/1994",1994,UWS,WR92R 011,
Optimization of two recirculating sans filters for nitrogen and organic chemical removal from domestic wastewater,Byron Shaw,Byron Shaw,,,,,,,,,"07/01/1993 –
06/30/1994",1994,DNR,WR93R 006,95
Integrated computerized mapping of point source contaminants and physical environmental characterisitics to protect and manage groundwater quality,Rick Stoll,Rick Stoll,,,,,,,,,"07/01/1993 –
06/30/1994",1994,DNR,WR93R 004,105
An investigation of field-filtering and low-field pumping when sampling for metals,"Jack Connelly, Charles Ostergren",Jack Connelly, Charles Ostergren,,,,,,,,"07/01/1993 –
06/30/1994",1994,DNR,WR93R 015,106
Groundwater Monitoring for Pesticides (continuation of project #2),Jeff Postle,Jeff Postle,,,,,,,,,"07/01/1993-
06/30/1996",1996,DNR,,107
"Evaluation of NR140 Groundwater Standards Compliance, NR 103 wetlands Water Quality Standards Compliance, and Groundwater Monitoring requirements for Zone-Of-Saturation Design Landfills in Wisconsin",,,,,,,,,,,,,,,108
Groundwater hydrogeology of an agricultural watershed,Ken potter,Ken potter,,,,,,,,,"07/01/1993 –
06/30/1995",1995,DNR/DATCP,WR93R 008,109
"The further incidence of native arsenic in eastern Wisconsin water supply wells: Marinette, Oconto, Shawano and Brown Counties",Rick Stoll,Rick Stoll,,,,,,,,,"07/01/1993 –
06/30/1994",1994,DNR,WR93R 003,110
Factors affecting the determination of radon in groundwater,William Sonzogni,William Sonzogni,,,,,,,,,"07/01/1993 –
06/30/1994",1994,DNR,WR93R 005,111
Groundwater Survey for Alachlor and ESA its Polar Metabolite in Southern Wisconsin,"James Vanden Brook, DATCP, Bureau of Agrichemical Management",James Vanden Brook, DATCP,,,,,,,,"01/6/1994 –
05/30/1994",1994,"DATCP, DNR,
Monsanto Company",WR93R 002,112
Investigation of potential groundwater impacts at yard waste sites,"Pugh, Connelly",Pugh, Connelly,,,,,,,,"07/01/1993 –
06/30/1994",1994,DNR,WR93R 007,98b
Investigation of potential groundwater impacts at yard waste sites,"Pugh, Connelly",Pugh, Connelly,,,,,,,,,,,,98b
Cover Crops to Limit Herbicide Use on Sweet Corn,Astrid Newenhouse,Astrid Newenhouse,,,,,,,,,"07/01/1993 -
08/30/1995",1995,DATCP,WR93R 009,
Mineral Phase Sorption of Selected Agrichemicals to Wisconsin Soils,"Timothy J. Grundl and Greg Small, UW-Mil.",Timothy J. Grundl ,greg small,,,,,,,,1994 – 1995,1995,UWS,WR93R 014,
The use of peat as an absorbtive medium,"Jim Wiersma, Ron Stieglitz",Jim Wiersma, Ron Stieglitz,,,,,,,,"07/01/1993 –
06/30/1994",1994,DATCP,WR93R 001,
Cover crops to limit herbicide use on sweet corn,Newenhouse,Newenhouse,,,,,,,,,"07/01/1993 –
06/30/1994",1994,DATCP,WR93R 009,
Leaching potential of Imazethapyr and nicosulfron in Sparta sand,Birl Lowery,Birl Lowery,,,,,,,,,"07/01/1993 –
06/30/1994",1994,DATCP,WR93R 010,
Comparative evaluation of biostimulation approaches for enhancing in situ TCE degradation in contaminated aquaifers,William Hickey,William Hickey,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS,WR93R 011,
"Using ""PREDICT"" to reduce herbicide usage and improve groundwater quality",Harvey,Harvey,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS,WR93R 012,
"Stratigraphy, sedimentaology and porosity distribution of the Silurian rocks of Door County, Wisconsin",Mark Harris,Mark Harris,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS,WR93R 013,
Mineral phase sorption of selected agrichemicals to Wisconsin soils,Tim Grundl,Tim Grundl,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS,WR93R 014,
Herbicide contamination of soil and groundwater at a mixing and loading site,Gordon Chesters,Gordon Chesters,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS & DATCP,WR93R 016,
Improved design of pump and treat systems for heterogeneous aquaifers,Jean Bahr,Jean Bahr,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS,WR93R 017,
Photocatalytic degradation of volatile organic carbon,Marc Anderson,Marc Anderson,,,,,,,,,"07/01/1993 –
06/30/1995",1995,UWS,WR93R 018,
"Application of a discrete fracture flow model for wellhead protection at Sturgeon Bay, Wisconsin","Ken Bradbury, Maureen Muldoon",Ken Bradbury, Maureen Muldoon,,,,,,,,"07/01/1994 –
06/30/1996",1996,DNR,WR94R 015,113
A comparison of low flow pumping and bailing for VOC sampling,Jack Connelly,Jack Connelly,,,,,,,,,"07/01/1994 –
06/30/1995",1995,DNR,WR94R 012,114
An evaluation of long-term trends and a mineralogical interpretation of naturally occurring metals contamination and acidification,"Weissbach, Pelczar",Weissbach, Pelczar,,,,,,,,"07/01/1994 –
06/30/1996",1996,DNR,WR94R 002,115
Agrichemical impacts to groundwater under irrigated vegetables in the Central Sand Plains,"George Kraft, Bryant Browne",George Kraft, Bryant Browne,,,,,,,,"07/01/1994 –
06/30/1996",1996,DNR,WR94R 009,116
Characterization of E. coli and total coliform organisms isolated from Wisconsin groundwater and reassessment of their public health significance,William Sonzogni,William Sonzogni,,,,,,,,,"07/01/1994 –
06/30/1995",1995,DNR,WR94R 004,117
Collection of hydraulic and geologic data to improve the quality of the Wiscosnin Groundwater Monitoring Network,Zaporozec,Zaporozec,,,,,,,,,"07/01/1994 –
06/30/1996",1996,DNR,WR94R 001,118
Vertical and horizontal variability of hyrogeologic properties of glaciated landscapes,David Mickelson,David Mickelson,,,,,,,,,"07/01/1994 –
06/30/1995",1995,DNR,WR94R 008,119
Direct and residual effects of land- applied sweet corn processing wastes on nitrate loss to groundwater,Larry Bundy,Larry Bundy,,,,,,,,,"07/01/1994 –
06/30/1996",1996,DNR,WR94R 014,120
a low-input crop management plan for Wisconsin fresh-market vegetable growers,Delahunt,Delahunt,,,,,,,,,"07/01/1994 –
06/30/1995",1995,DATCP,WR94R 011,
Evaluation of enzyme-linked immunosorbent assay for herbicide analysis of Wisconsin soil in comparison to gas chromatogeraphy,William Sonzogni,William Sonzogni,,,,,,,,,"07/01/1994 –
06/30/1995",1995,UWS,WR94R 003,
Geologic constraints on arsenic in groundwater with applications to groundwater modeling,Tony Simo,Tony Simo,,,,,,,,,"07/01/1994 –
06/30/1995",1995,UWS,WR94R 005,
"Development and demonstration of an accurate manure spreading system to protect water quality, improve waste management and farm profitability",Shinners,Shinners,,,,,,,,,"07/01/1994 –
06/30/1996",1996,UWS,WR94R 006,
Synergistic effects of endocrine dirupters in drinking water,Warren Porter,Warren Porter,,,,,,,,,"07/01/1994 –
06/30/1996",1996,UWS,WR94R 007,
Use of heavy nitrogen to study nitrate flux from septic systems,John Harkin,John Harkin,,,,,,,,,"07/01/1994 –
06/30/1996",1996,"UWS &
Commerce",WR94R 010,
"Integration of hydraulics and geology into a hydrostratigraphic model for the Paleozoic Aquifer of eastern Dane County, Wisconsin",Doug Cherkauer,Doug Cherkauer,,,,,,,,,"07/01/1994 –
06/30/1995",1995,UWS,WR94R 013,
Tracer study for characterization of groundwater movement and contaminant transport in fractured dolomite,Ken Bradbury,Ken Bradbury,,,,,,,,,"07/01/1994 –
06/30/1996",1996,UWS,WR94R 016,
Evaluating the efectiveness of landfill liners,Craig Benson,Craig Benson,,,,,,,,,"07/01/1994 –
06/30/1996",1996,UWS,WR94R 017,
"Delineation of capture zones for municipal wells in Dane County, Wisconsin",Ken Bradbury,Ken Bradbury,,,,,,,,,"07/01/1995 –
06/30/1997",1997,DNR,WR95R 014,121
Optimum management of groundwater resources in the Lower Fox River Valley,Jim Krohelski,Jim Krohelski,,,,,,,,,"07/01/1995 –
06/30/1997",1997,DNR,WR95R 009,122
"Variability of nitrate loading and determination of monitoring frequency for a shallow sandy aquifer, Arena, Wisconsin",Fred Madison,Fred Madison,,,,,,,,,"07/01/1995 –
06/30/1996",1996,DNR,WR95R 008,123
An Investigation of VOC Sampling techniques at Slowly Recovering Monitoring Wells,Jack Connelly,Jack Connelly,,,,,,,,,cancelled,,DNR,,124
Evaluation of shallow-soil adsorption fields associated with on-site disposal systems,Ron Stieglitz,Ron Stieglitz,,,,,,,,,"07/01/1995 –
06/30/1997",1997,UWS & DNR & DATCP,WR95R 003,125
"GIS as a tool to prioritize environmental releases, integrate their managaement and alleviate their public threat",Stoll,Stoll,,,,,,,,,"07/01/1995 –
06/30/1997",1997,DNR,WR95R 002,126
Land Use Effects on Groundwater and Streamwater Quality in the Little Plover River Watershed,"Byron Shaw and Phillip Albertson, UW-Stevens Point",Byron Shaw, Phillip Albertson,,,,,,,,"07/01/1995 –
06/30/1997",1997,DATCP,WR95R 005,
Groundwater recharge and contamination in Wisconsin's Driftless Area,Ken Potter,Ken Potter,,,,,,,,,"07/01/1995 –
06/30/1997",1997,DATCP,WR95R 006,
An integrated approach to the management of insects in sweet corn grown for fresh market,Wedberg,Wedberg,,,,,,,,,"07/01/1995 –
06/30/1997",1997,UWS,WR95R 000,
The use of azimuthal resistivity and self potential measurements to delineate groundwater flow direction in fractured media,Taylor,Taylor,,,,,,,,,"07/01/1995 –
06/30/1996",1996,UWS,WR95R 001,
Stratigraphic controls on the mobilization and transport of naturally- occurringarsenic in groundwater: Implication for wellhead protection,Tony Simo,Tony Simo,,,,,,,,,"07/01/1995 –
06/30/1996",1996,UWS,WR95R 004,
Characterization of the role of evapotranspiration on groundwater movement and solute chemistry in groundwater-fed wetlands,Ken Potter,Ken Potter,,,,,,,,,"07/01/1995 –
06/30/1997",1997,UWS,WR95R 007,
Biostmulation of trichloroethylene degradation in contaminated aquifers,William Hickey,William Hickey,,,,,,,,,"07/01/1995 –
06/30/1997",1997,UWS,WR95R 010,
Iron-based abiotic destruction of chlorinated pesticides in groundwater,Gerry Eykholt,Gerry Eykholt,,,,,,,,,"07/01/1995 –
06/30/1996",1996,UWS,WR95R 011,
Evaluation of well seals using an ultrasonic probe,Tuncer Edil,Tuncer Edil,,,,,,,,,"07/01/1995 –
06/30/1996",1996,UWS,WR95R 012,
Responses of biological toxicity tests to mixtures of pesticides and metabolites,Gordon Chesters,Gordon Chesters,,,,,,,,,"07/01/1995 –
06/30/1997",1997,UWS,WR95R 013,
Bioremediation of Hydrocarbons influenced by air sparging: A multi- model approach to assess contaminant mass removal,Jean Bahr,Jean Bahr,,,,,,,,,"07/01/1995 –
06/30/1997",1997,UWS,WR95R 015,
A study of well construction guidance for arsenic contamination in northeast Wisconsin,Weissbach,Weissbach,,,,,,,,,"07/01/1996 –
06/30/1998",1998,DNR,WR96R 001,127
Improved detection limits for groundwater monitoring,William Sonzogni,William Sonzogni,,,,,,,,,"07/01/1996 –
06/30/1997",1997,UWS & DNR,WR96R 003,128
Stratigraphic controls on distribution of hydraulic conductivity in carbonate aquifers,Tony Simo,Tony Simo,,,,,,,,,"07/01/1996 –
06/30/1998",1998,DNR,WR96R 004,129
Evaluation of the use of DUMPSTAT to detect the impact of landfills on groundwater quality,Ken Potter,Ken Potter,,,,,,,,,"07/01/1996 –
06/30/1997",1997,DNR,WR96R 005,130
Nitrate-contaminated drinking water followback study,Marty Kanarek,Marty Kanarek,,,,,,,,,"07/01/1996 –
06/30/1997",1997,DNR,WR96R 008,131
Determining compatibility between herbicide release and habitat for Karner Blue butterfly in red pine plantations,Sucoff,Sucoff,,,,,,,,,"07/01/1996 –
06/30/1997",1997,DATCP,WR96R 002,
Holding tank effluent and fecal- contaminated groundwater: soureces of infectious diarrhea in central Wisconsin,Mark Borchardt,Mark Borchardt,,,,,,,,,"07/01/1996 –
06/30/1998",1998,Commerce,WR96R 014,
Treatment of groundwater contaminated with chlorinated aliphatics using silicone tubing supported methanotrophic biofilm reactor,Jae Park,Jae Park,,,,,,,,,"07/01/1996 –
06/30/1998",1998,UWS,WR96R 006,
Fate of nicosulfron in Sparta sand,Birl Lowery,Birl Lowery,,,,,,,,,"07/01/1996 –
06/30/1997",1997,DATCP,WR96R 007,
Molecular techniques for detection and identification of sewage-borne human pathogens in soils,William Hickey,William Hickey,,,,,,,,,"07/01/1996 –
06/30/1998",1998,Commerce,WR96R 009,
"Stratigraphy, seidmentology and porosity distribution of the Silurian Aquifer of Ozaukee County, Wisconsin",Mark Harris,Mark Harris,,,,,,,,,"07/01/1996 –
06/30/1997",1997,UWS,WR96R 010,
Experiemtnal verification of models used to evaluate landfill liner effectiveness,Tuncer Edil,Tuncer Edil,,,,,,,,,"07/01/1996 –
06/30/1997",1997,UWS,WR96R 011,
Groundwater bioremediation: Monitoring with MMO probes,MLP Collins,MLP Collins,,,,,,,,,"07/01/1996 –
06/30/1998",1998,UWS,WR96R 012,
Development of a variable rate nitrogen application approach for corn,Larry Bundy,Larry Bundy,,,,,,,,,"07/01/1996 –
06/30/1998",1998,UWS,WR96R 013,
Groundwater protection by application of modern portfolio theory to microbiotesting strategies,George Blondin,George Blondin,,,,,,,,,"07/01/1996 –
06/30/1997",1997,UWS,WR96R 015,
In situ air sparging: Air plume characterization and removal effectiveness,Craig Benson,Craig Benson,,,,,,,,,"07/01/1996 –
06/30/1998",1998,UWS,WR96R 016,
Hydrogeochemical and microbiological studies for enhanced groundwater bioremediation,Jean Bahr,Jean Bahr,,,,,,,,,"07/01/1996 –
06/30/1998",1998,UWS,WR96R 017,
Improved estimation of groundwater recharge rates,Mary Anderson,Mary Anderson,,,,,,,,,"07/01/1996 –
06/30/1997",1997,UWS,WR96R 018,
Relationships between water quality in stream base flow and private wells and land use in the Tomorrow/Waupaca watershed,Byron Shaw,Byron Shaw,,,,,,,,,"07/01/1997 –
06/30/1999",1999,DNR,WR97R 005,132
Northeast region public water supply location utilizing GIS and GPS,Stoll,Stoll,,,,,,,,,"07/01/1997 –
06/30/1998",1998,DNR,WR97R 003,133
Characterization of the hydrostratigraphy of the deep sandstone aquifer in southeatern Wisconsin,Timothy Eaton,Timothy Eaton,,,,,,,,,"07/01/1997 –
06/30/1999",1999,DNR,WR97R 011,134
Evaluation of geology and hydraulic performance of Wisconsin groundwater monitoring wells,Alex Zaporozec,Alex Zaporozec,,,,,,,,,"07/01/1997 –
06/30/1998",1998,DNR,WR97R 001,135
Further evaluation of well seals using ultrasonic probes,Tuncer Edil,Tuncer Edil,,,,,,,,,"07/01/1997 –
06/30/1998",1998,DNR,WR97R 010,136
Groundwater-surface water interactions in the Nine Springs watershed,Jean Bahr,Jean Bahr,,,,,,,,,"07/01/1997 –
06/30/1999",1999,DNR,WR97R 015,137
Evaluation of the Confining Properties of the Maquoketa Formation in the SEWRPC Region of Southeastern Wisconsin,"Timothy T. Eaton, Kenneth R. Bradbury",Timothy T. Eaton, Kenneth R. Bradbury,,,,,,,,"07/01/97 -
08/01/1998",1998,,,138
Preliminary Model Design And Literature Review For The Sandstone Aquifer System In Sourtheastern Wisconsin,"Feinstein, Eaton, Krohelsjki, Bradbury",Feinstein, Eaton, Krohelsjki, Bradbury,,,,,,"07/01/1997 –
06/30/1998",1998,DNR,WR97R 014,139
Determining Ground-Water Recharge Rates in Southern Wisconsin County,"Douglas S. Cherkauer, UW-Mil., and Craig J. LaCosse,  UW-Mil.",Douglas S. Cherkauer,, Craig J. LaCosse,,,,,,,"07/01/1999 –
06/30/2001",2001,UWS,WR97R 012,
"Effects of Fosamine, Glyphosate, Picloram, Triclopyr, and Sodium Tetraborate on Reducing Aspen in Prairie Bush Clover Habitat",Paul C. West,Paul C. West,,,,,,,,,"07/01/1997 –
06/30/1998",1998,DATCP,WR97R 002,
Impact of Ginseng Production on Groundwater Quality,William DeVita and Byron Shaw,William DeVita ,Byron Shaw,,,,,,,,"07/01/1997 –
06/30/1998",1998,DATCP,WR97R 004,
"Fate of metolachlor, alachlor and nitrate in granular iron/soil/ water systems","Eykholt, Davenport, Wonsettler",Eykholt, Davenport, Wonsettler,,,,,,,"07/01/1997 –
06/30/1998",1998,DATCP,WR97R 008,
The direct effect of agricultural chemicals on Wisconsin's declining and endangered amphibians,William Karasov,William Karasov,,,,,,,,,"07/01/1997 –
06/30/1999",1999,UWS & DATCP,WR97R 006,
"Investigation of air sparging: Numerical modeling, laboratory verification and design guidelines",Hoopes,Hoopes,,,,,,,,,"07/01/1997 –
06/30/1999",1999,UWS,WR97R 007,
Evaluation of exploration borehole seals using Time Domain Reflectomtery,Tuncer Edil,Tuncer Edil,,,,,,,,,"07/01/1997 –
06/30/1999",1999,UWS,WR97R 009,
Watershed-scale nitrate contamination and chlorofluorocarbon ages in the Little Plover Basin: A study at the groundwater/surface water interface,Bryant Browne,Bryant Browne,,,,,,,,,"07/01/1997 –
06/30/1999",1999,UWS,WR97R 013,
Assessment of impacts on groundwater/lake and wetland systems,Mary Anderson,Mary Anderson,,,,,,,,,"07/01/1997 –
06/30/1998",1998,UWS,WR97R 016,
Hydraulic Conductivity and Specific Storage of the Maquoketa Shale,"Timothy T. Eaton, David
J. Hart, Kenneth R. Bradbury, Herbert F. Wang.  University; WGNHS and UW-Mad.",Timothy T. Eaton, David j. hart,Kenneth R. Bradbury,,,,,,,"07/01/1998  –
06/30/2000",2000,,WR98R 001,
Acute and chronic toxicity of nitrate to brook trout Salvelinus fontinalis,"Ronald Crunkilton, UW- Stevens Point, and Todd Johnson, UW-Stevens Point",Ronald Crunkilton,,  Todd Johnson,,,,,,,"07/01/1998  –
06/30/2000",2000,DNR,WR98R 010,140
Maquoketa Shale as Radium Source for the Cambro-Ordovician Aquifer in Eastern Wisconsin,Tim Grundl,Tim Grundl,,,,,,,,,"07/01/1998  –
06/30/2000",2000,DNR,WR98R 009,141
Mechanical controls on fracture development in carbonate aquifers: implications for groundwater flow systems,"Cooke, Muldoon",Cooke, Muldoon,,,,,,,,"07/01/1998  –
06/30/2000",2000,DNR,WR98R 011,142
Analysis of Microbiological and Geochemical Processes Controlling Biodegradation of Aromatic Hydrocarbons in Anaerobic Aquifers,"William J. Hickey, UW- Mad., Jean M. Bahr, UW- Mad.; Madeline Schreiber, UW-Mad.; Michele Zwolinski, UW- Mad.; and Peter Taglia, UW-Mad.",William J. Hickey,, Jean M. Bahr,, Madeline Schreiber,, Michele Zwolinski,, Peter Taglia,"07/01/1998  –
06/30/2000",2000,DNR,WR98R 007,143
Viral contamination of household wells near disposal sites for human excretia,"M. Borchardt, W. Sonzogni",M. Borchardt, W. Sonzogni,,,,,,,,"07/01/1998  –
06/30/2000",2000,DNR,WR98R 014,144
Assessing and Reducing Leaching of Agricultural Chemicals on Silt Loam Soils under Different Farming Systems,"K-J Samuel Kung, Joshua Posner, Gary Bubenzer, and John Hall, UW - Mad.",K-J Samuel Kung, Joshua Posner, Gary Bubenzer,  John Hall,,,,,,"07/01/1998  –
06/30/2000",2000,DATCP,WR98R 006,
"Fate of herbicides atrazine, cyanazine and alachlor and selected metabolites",Stoltenberg,Stoltenberg,,,,,,,,,"07/01/1998  –
06/30/1999",1999,,WR98R 002,
Natural Attenuation of fuel and related groundwater contaminants - A measurement method,William Sonzogni,William Sonzogni,,,,,,,,,"07/01/1998  –
06/30/1999",1999,UWS,WR98R 003,
Water and land use: interpretation of existing data to foster constructive public dialog and policy formulation,Harry Read,Harry Read,,,,,,,,,"07/01/1998  –
06/30/1999",1999,UWS,WR98R 004,
Using GIS and soil landscape models to predict critical sites for nonpoint source pollution,Birl Lowery,Birl Lowery,,,,,,,,,"07/01/1998  –
06/30/2000",2000,DATCP,WR98R 005,
"Sedimentology, stratigraphy, and porosity-conductivitiy relations of the Silurian aquaifer in Ozaukee County, Wisconsin",Harris,Harris,,,,,,,,,"07/01/1998  –
06/30/2000",2000,UWS,WR98R 008,
"Monitoring: Evaluation of the Abundance, Diversity, and
Activity of Methanotroph Populations in Groundwater","Mary Lynne Perille Collins and Charles C. Remsen, UW-Mil.",Mary Lynne Perille Collins and Charles C. Remsen,,,,,,,,,"07/01/1998  –
06/30/2000",2000,UWS,WR98R 012,
Groundwater Flow and Heat Transport in Wetlands: Transient Simulations and Frequency-Domain Analysis,"Hector Bravo, UW-Mil.",Hector Bravo,,,,,,,,,"07/01/1998  –
06/30/2000",2000,UWS,WR98R 013,
A rational design for permeable reactive walls,Craig Benson,Craig Benson,,,,,,,,,,,,WR98R 015,
On-line SFE/GC for Improved Detection of Trace Organic Pollutants in Ground Water Monitoring,"David E. Armstrong, Robert J. Noll, UW - Mad.",David E. Armstrong, Robert J. Noll,,,,,,,,"07/01/1998  –
06/30/1999",1999,UWS/DATCP,WR98R 016,
Pheasant Branch Groundwater Quality Study,"Hunt, Steuer",Hunt, Steuer,,,,,,,,,,,,145
A groundwater model for the Central Sands of Wisconsin: Assessing the environmental and economic impacts of irrigated agriculture,"Anderson, Bland, Kraft",Anderson, Bland, Kraft,,,,,,,"7/1/1999 -
06/30-2000",2000,DNR/DATCP,WR99R 008,146
Remediating Groundwater Using Reactive Walls Containing Waste Foundry Sands,Craig Benson (Gerry Eykholt left UW to start private practice in Madison),Craig Benson,Gerry Eykholt,,,,,,,,"7/1/1999 -
06/30-2001",2001,UWS & DNR,WR99R 006,147
"Field Verification of Captures Zones for Municipal Wells at Sturgeon Bay, Wisconsin","Bradbury, Rayne, Muldoon",Bradbury, Rayne, Muldoon,,,,,,,"7/1/1999 -
06/30-2000",2000,DNR/DATCP,WR99R 019,148
Improvement of Wisconsin groundwater monitorng network,Zaporozec,Zaporozec,,,,,,,,,"7/1/1999 -
06/30-2000",2000,DNR,WR99R 014,149
Refinement of two methods for estimation of groundwater recharge rates,"Bradbury, Anderson, Potter, Dripps",Bradbury, Anderson, Potter, Dripps,,,,,,"7/1/1999 -
06/30-2000",2000,DNR,WR99R 018,150
Evaluating options for changing groundwater and leachate monitoring requirements for landfills to reduce mercury used by laboratories,"Connelly, Stephens, Shaw",Connelly, Stephens, Shaw,,,,,,,"7/1/1999 -
06/30-2001",2001,DNR,WR99R 017,151
An Investigation of the Hydrogeological Conditions Responsible for Springs in a Glaciated Terrain,"Susan Swanson, Jean Bahr, UW-Mad.",Susan Swanson, Jean Bahr,,,,,,,,"7/1/1999 -
6/30/00",2000,DNR,,161
Degradates of matolachlor and Acetochlor in Municipal and Private Water Supplies of Wisconsin,Jim Vanden Brook,Jim Vanden Brook,,,,,,,,,"7/1/1999-
6/30/2000",2000,DNR,,162
"Arsenic in Groundwater in Lake Geneva, Wisconsin",Madeline Gotkowitz WGNHS,Madeline Gotkowitz ,,,,,,,,,"3/1/00 -
6/30/00",2000,DNR,,163
"Agrochemical Leaching From Sub- Optimal, Optimal, and Excessive Manure-N Fertilization of Corn Agroecosystems","John M. Norman, UW - Mad.",John M. Norman,,,,,,,,,"07/01/2001 –
06/30/2003",2003,DATCP,WR99R 001A,
Field Monitoring of Drainage and Nitrate Leaching from Managed and Unmanaged Ecosystems,"John Norman, UW-Mad.",John Norman,,,,,,,,,"7/1/1999 -
06/30-2001",2001,UWS & USGS B,WR99R 001,
Compatibility of Containment Systems with Mine Waste Liquids.,"Tuncer B. Edil , Craig H. Benson, S. Basak Gulec, UW-Mad.",Tuncer B. Edil , Craig H. Benson, S. Basak Gulec,,,,,,,"07/1999 -
06/2001",2001,UWS,WR99R 002,
Macropore Flow:  A Means for Enhancing Groundwater Recharge or a Potential Source of Groundwater Contamination,"Kenneth Potter, Peter Bosscher, UW-Mad.",Kenneth Potter, Peter Bosscher,,,,,,,,"7/1/1999 -
06/30-2001",2001,UWS,WR99R 003,
Development of Neural Network Models for Predicting Nitrate Concentration in Well Water in the Tomorrow-Waupaca Watershed,Hangshen Lin,Hangshen Lin,,,,,,,,,"7/1/1999 -
06/30-2001",2001,UWS,WR99R 004,
Causes of Historical Changes in Groundwater Recharge Rates in Southeastern Wisconsin,Douglas Cherkauer,Douglas Cherkauer,,,,,,,,,"7/1/1999 -
06/30-2001",2001,UWS,WR99R 005,
Admicelle-Catalyzed Reductive Dechlorination of Perchloroethylene (PCE) by Zero Valent Iron,"Dr. Zhaohui Li, UW - Parkside",Dr. Zhaohui Li,,,,,,,,,"07/01/1999 –
06/30/2001",2001,UWS,WR99R 007,
Time Domain Electromagnetic Induction Survey Of Eastern Waukesha County And Selected Locations,"John Jansen, Aquifer Science and Technology; Robert Taylor, UW-Mil.",John Jansen,, Robert Taylor,,,,,,,"7/1/1999 -
06/30-2000",2000,UWS,WR99R 016,
Geologic and geochemical controls on arsenic in groundwater in northeastern Wisconsin,Gotkowitz,Gotkowitz,,,,,,,,,,,DNR,WR00R 013,152
VOC trend analysis of WI solid waste landfill monitoring data: A preliminary analysis of the natural attenuation process,Connelly,Connelly,,,,,,,,,01/00/00,2000,DNR,WR00R 018,153
Development of analytical methods for comprehensive chemical and physical speciation of arsenicals in groundwater,Aldstadt,Aldstadt,,,,,,,,,,,DNR,WR00R 021,154
New approaches to the assessment of microbes in groundwater: application to monitoring bioremediation and detection of pathogens,Collins,Collins,,,,,,,,,"7/1/2000 -
6/30/2002",2002,DNR,WR00R 019,155
An analysis of arsenic replacement wells to determine validity of current DNR well construction guidance,O'Connor,O'Connor,,,,,,,,,"7/1/2000 -
6/30/2002",2002,DNR,WR00R 009,156
"Verification and characterization of a fracture network within the Maquoketa shale confining unit, SE Wisconsin",Eaton,Eaton,,,,,,,,,,,DNR,WR00R 015,157
Public health impacts of arsenic contaminated drinking water,Knobeloch,Knobeloch,,,,,,,,,01/00/00,2000,DNR,WR00R 011,158
